# Rohdaten PCE-323 BLE-Notify-Strom, 0000fff2, 2026-08-17 06:09:49-06:10:39
# Format je Zeile: Zeitstempel  20-Byte-Notify  3-Byte-Folgenotify  dekodierter Wert (dB)
# Kombiniertes 23-Byte-Logikframe = beide Spalten aneinandergehaengt, siehe .bin-Datei

06:10:13.995  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4a 66 66 01 0f  2c 00 0d  50.60
06:10:14.537  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4c 00 00 01 0f  2c 00 0d  51.00
06:10:15.074  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 4a 00 00 01 0f  2c 00 0d  50.50
06:10:15.570  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 45 33 33 01 0f  2c 00 0d  49.30
06:10:16.066  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 41 99 9a 01 0f  2c 00 0d  48.40
06:10:16.607  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 40 cc cd 01 0f  2c 00 0d  48.20
06:10:17.102  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 3f 33 33 01 0f  2c 00 0d  47.80
06:10:17.639  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 3e 66 66 01 0f  2c 00 0d  47.60
06:10:18.136  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 3c cc cd 01 0f  2c 00 0d  47.20
06:10:18.673  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 38 cc cd 01 0f  2c 00 0d  46.20
06:10:19.170  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 36 00 00 01 0f  2c 00 0d  45.50
06:10:19.708  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 34 00 00 01 0f  2c 00 0d  45.00
06:10:20.205  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 32 cc cd 01 0f  2c 00 0d  44.70
06:10:20.743  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 cc cd 01 0f  2c 00 0d  44.20
06:10:21.239  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 cc cd 01 0f  2c 00 0d  44.20
06:10:21.781  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2f 33 33 01 0f  2c 00 0d  43.80
06:10:22.272  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2d 99 9a 01 0f  2c 00 0d  43.40
06:10:22.771  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2d 33 33 01 0f  2c 00 0d  43.30
06:10:23.307  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2d 99 9a 01 0f  2c 00 0d  43.40
06:10:23.807  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2e 00 00 01 0f  2c 00 0d  43.50
06:10:24.304  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2f 99 9a 01 0f  2c 00 0d  43.90
06:10:24.842  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 30 cc cd 01 0f  2c 00 0d  44.20
06:10:25.382  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2f 99 9a 01 0f  2c 00 0d  43.90
06:10:25.873  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2e cc cd 01 0f  2c 00 0d  43.70
06:10:26.418  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2c cc cd 01 0f  2c 00 0d  43.20
06:10:26.956  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2c 00 00 01 0f  2c 00 0d  43.00
06:10:27.451  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2a cc cd 01 0f  2c 00 0d  42.70
06:10:27.946  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2a 00 00 01 0f  2c 00 0d  42.50
06:10:28.486  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 29 99 9a 01 0f  2c 00 0d  42.40
06:10:28.983  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 cc cd 01 0f  2c 00 0d  42.20
06:10:29.476  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 cc cd 01 0f  2c 00 0d  42.20
06:10:30.013  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 cc cd 01 0f  2c 00 0d  42.20
06:10:30.514  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:10:31.008  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:10:31.558  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:10:32.044  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:10:32.581  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:10:33.077  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:10:33.615  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:10:34.110  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:10:34.650  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:10:35.152  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:10:35.650  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 28 00 00 01 0f  2c 00 0d  42.00
06:10:36.180  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:10:36.722  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 27 99 9a 01 0f  2c 00 0d  41.90
06:10:37.217  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2c cc cd 01 0f  2c 00 0d  43.20
06:10:37.756  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 35 99 9a 01 0f  2c 00 0d  45.40
06:10:38.205  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2f 33 33 01 0f  2c 00 0d  43.80
06:10:38.791  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2c 00 00 01 0f  2c 00 0d  43.00
06:10:39.289  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2d 99 9a 01 0f  2c 00 0d  43.40
06:10:39.783  d5 03 00 00 00 10 c3 00 01 01 08 00 00 00 42 2c 66 66 01 0f  2c 00 0d  43.10
